	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000258460	1	0	0	0	0	0
ENSG00000258919	0	0	0	0	3	1
ENSG00000258404	0	0	0	0	0	2
ENSG00000241494	4	2	3	1	3	2
ENSG00000258512	0	16	7	5	20	15
ENSG00000078304	5421	6234	5342	4158	5687	5931
ENSG00000259088	16	20	23	21	51	33
ENSG00000256705	1	0	0	0	0	1
ENSG00000271780	35	25	36	10	21	22
ENSG00000272444	3	3	1	1	1	2
ENSG00000197102	5704	7758	3721	5434	8152	10634
ENSG00000258959	7	7	3	9	14	14
ENSG00000240457	1	0	0	1	0	0
ENSG00000080824	98855	66131	66621	48449	39758	34069
ENSG00000140153	697	620	543	585	643	693
ENSG00000080823	168	127	104	143	211	135
ENSG00000022976	881	876	963	660	756	773
ENSG00000265677	1	3	1	2	2	0
ENSG00000100865	765	722	795	586	604	516
ENSG00000196663	743	823	551	731	966	1085
ENSG00000156381	244	181	331	164	211	219
ENSG00000089902	2775	2838	1998	2753	3183	3511
ENSG00000259508	0	2	0	0	1	0
ENSG00000131323	3333	3929	2800	2558	3557	3462
ENSG00000238853	1	1	0	0	0	0
ENSG00000211990	0	1	0	1	0	0
ENSG00000166126	419	324	327	215	244	168
ENSG00000198752	98	55	58	82	61	50
ENSG00000259515	0	0	0	0	2	0
ENSG00000205436	0	0	0	0	4	0
ENSG00000259717	0	0	1	0	1	0
ENSG00000185215	87	87	66	49	97	95
ENSG00000251533	2	0	3	0	0	1
ENSG00000259775	7	6	8	4	3	12
ENSG00000100664	9962	11224	10190	7018	7611	6969
ENSG00000272533	3	0	1	0	3	0
ENSG00000243904	3	5	10	2	4	4
ENSG00000075413	2431	2672	2561	1724	2086	2216
ENSG00000244691	1	1	0	0	0	1
ENSG00000166165	226	263	412	232	435	493
ENSG00000260285	75	116	99	44	106	116
ENSG00000166166	553	534	471	369	340	286
ENSG00000252469	1	0	0	0	0	0
ENSG00000258851	1	0	1	1	0	0
ENSG00000166170	2628	2666	1790	1800	2054	2250
ENSG00000126214	755	784	816	590	861	970
ENSG00000256500	0	1	0	0	1	1
ENSG00000256053	334	270	339	259	322	249
ENSG00000246451	80	77	52	58	70	101
ENSG00000270108	18	13	33	9	26	33
ENSG00000269910	6	10	1	19	15	7
ENSG00000269940	10	15	16	19	23	27
ENSG00000269958	108	163	137	111	165	170
ENSG00000126215	2157	2061	1893	1385	1702	1605
ENSG00000224997	28	37	19	21	29	40
ENSG00000269963	201	158	119	151	154	162
ENSG00000100711	870	1059	986	585	691	695
ENSG00000088808	658	618	478	632	755	795
ENSG00000270591	0	1	0	1	0	0
ENSG00000258735	0	1	0	1	1	2
ENSG00000258534	98	94	119	46	62	57
ENSG00000258914	28	13	19	10	12	13
ENSG00000156411	1979	2553	2889	1776	1677	1456
ENSG00000156414	368	2006	1719	448	2433	2424
ENSG00000227729	2	25	20	0	5	4
ENSG00000242894	0	1	1	0	2	2
ENSG00000166183	3	19	21	0	8	10
ENSG00000207568	0	1	1	0	0	0
ENSG00000258748	20	19	33	6	22	20
ENSG00000066735	1078	1319	951	1192	1981	1915
ENSG00000258913	0	0	0	2	0	0
ENSG00000260792	0	1	0	0	0	1
ENSG00000256050	1	0	0	0	2	0
ENSG00000203485	2098	2052	1826	1671	2360	2578
ENSG00000258858	1	0	0	0	0	2
ENSG00000185100	29	51	51	35	62	45
ENSG00000184990	3614	4058	5626	2439	3108	2727
ENSG00000142208	4093	4827	5017	3840	5736	6081
ENSG00000179627	249	370	389	236	359	339
ENSG00000258701	59	93	65	67	119	105
ENSG00000239365	0	1	0	0	1	0
ENSG00000196183	2	2	5	0	1	6
ENSG00000258811	4	7	2	0	1	0
ENSG00000099814	191	108	37	290	176	143
ENSG00000259067	0	0	0	0	0	1
ENSG00000166428	0	3	1	1	0	1
ENSG00000185567	1	3	1	0	1	4
ENSG00000140104	239	222	153	149	157	122
ENSG00000170779	1689	1518	1660	1245	1528	1510
ENSG00000183484	37	11	10	93	88	115
ENSG00000257556	17	27	30	7	25	15
ENSG00000184916	74	150	135	130	264	269
ENSG00000183828	131	233	295	123	260	195
ENSG00000185024	1256	1362	1418	1285	1747	1732
ENSG00000184887	1281	1175	1356	1053	1263	1272
ENSG00000179364	876	1365	1378	778	1562	1787
ENSG00000242085	6	5	12	9	8	6
ENSG00000226174	46	52	53	24	55	70
ENSG00000251602	200	318	241	150	260	311
ENSG00000182979	4319	5810	5456	2641	4105	3993
ENSG00000257270	68	62	52	31	33	51
ENSG00000182809	12	42	40	8	134	153
ENSG00000213145	277	234	341	269	332	340
ENSG00000257341	2	1	0	0	1	0
ENSG00000185347	810	777	1116	630	798	856
ENSG00000184986	30	46	43	36	60	42
ENSG00000234402	0	0	0	1	0	0
ENSG00000211898	1	0	0	0	0	0
ENSG00000211899	18	2	9	12	3	6
ENSG00000211904	0	0	0	1	0	0
ENSG00000211905	1	0	0	0	0	0
ENSG00000236597	0	0	0	0	1	0
ENSG00000244620	5	29	18	4	19	21
ENSG00000237020	0	0	1	0	2	0
ENSG00000211914	0	0	0	0	1	2
ENSG00000211915	0	0	0	0	1	0
ENSG00000227800	0	0	0	0	2	2
ENSG00000211917	0	0	2	0	1	6
ENSG00000211918	0	0	0	0	0	1
ENSG00000227108	0	0	0	0	1	0
ENSG00000211920	0	0	0	0	0	2
ENSG00000211921	0	0	0	0	0	2
ENSG00000232543	0	1	0	0	2	2
ENSG00000211923	0	0	0	0	1	0
ENSG00000211924	0	0	0	0	1	3
ENSG00000211925	0	1	1	0	0	0
ENSG00000237197	1	0	0	0	0	2
ENSG00000228131	0	0	0	0	1	3
ENSG00000211928	0	2	1	0	0	0
ENSG00000233655	0	1	2	0	1	2
ENSG00000211930	0	1	0	0	1	1
ENSG00000211931	0	1	0	0	0	1
ENSG00000226777	67	287	263	81	428	594
ENSG00000236170	0	0	1	0	0	0
ENSG00000211933	0	1	0	0	0	1
ENSG00000233988	0	1	0	0	0	0
ENSG00000225200	143	244	347	91	141	149
ENSG00000211934	1	6	1	1	4	8
ENSG00000211935	13	47	43	19	73	79
ENSG00000211936	0	5	8	0	6	3
ENSG00000211937	0	1	0	0	0	0
ENSG00000254053	0	0	0	0	0	1
ENSG00000211938	1	2	4	0	3	0
ENSG00000211939	0	5	13	1	2	1
ENSG00000211940	1	18	8	1	2	2
ENSG00000254117	1	2	7	0	4	1
ENSG00000211941	1	10	10	0	1	2
ENSG00000254215	2	7	12	1	3	2
ENSG00000254174	1	1	0	0	0	1
ENSG00000211942	6	22	21	2	13	10
ENSG00000253709	1	54	26	0	29	16
ENSG00000211943	0	6	5	0	4	5
ENSG00000253458	0	2	0	0	0	1
ENSG00000211944	1	7	1	0	9	0
ENSG00000254210	4	58	21	1	34	33
ENSG00000254046	0	1	1	0	0	3
ENSG00000235506	0	1	3	1	1	2
ENSG00000211945	1	4	1	0	2	3
ENSG00000253883	25	126	32	15	73	47
ENSG00000271201	44	148	120	17	66	61
ENSG00000221180	26	69	34	7	41	14
ENSG00000253996	0	1	0	0	0	0
ENSG00000253957	1	4	6	1	1	2
ENSG00000211949	0	1	2	0	1	1
ENSG00000211950	9	23	17	1	1	5
ENSG00000238275	2	12	13	4	6	5
ENSG00000229084	1	4	2	1	1	3
ENSG00000253441	0	0	0	0	0	1
ENSG00000211951	0	0	0	0	1	0
ENSG00000253462	0	2	2	0	1	1
ENSG00000253482	7	8	5	2	7	16
ENSG00000254326	1	10	6	1	4	11
ENSG00000211952	4	10	6	12	6	12
ENSG00000254214	0	2	4	1	1	2
ENSG00000253464	3	11	9	3	5	6
ENSG00000211953	18	35	33	16	45	36
ENSG00000253491	3	2	5	1	5	13
ENSG00000253587	0	2	0	0	0	0
ENSG00000231475	2	6	10	4	4	13
ENSG00000253149	1	0	0	0	2	2
ENSG00000254289	8	10	10	11	11	27
ENSG00000211955	21	34	29	19	38	35
ENSG00000254203	9	21	16	6	22	24
ENSG00000253440	13	33	11	8	31	45
ENSG00000211956	112	257	138	88	242	196
ENSG00000253325	0	7	4	6	2	2
ENSG00000211957	12	17	16	9	20	11
ENSG00000253240	2	6	3	1	1	7
ENSG00000253359	4	7	3	4	4	14
ENSG00000211958	18	65	21	16	44	39
ENSG00000253989	24	51	26	22	27	44
ENSG00000211959	19	63	31	13	38	29
ENSG00000253467	2	7	4	2	7	2
ENSG00000228757	15	28	19	3	20	16
ENSG00000253294	5	11	3	4	11	9
ENSG00000253705	27	39	15	10	26	27
ENSG00000228966	52	123	78	36	89	75
ENSG00000254228	8	11	8	3	13	8
ENSG00000232216	31	57	30	24	34	38
ENSG00000253597	3	1	0	1	2	1
ENSG00000253588	1	0	1	0	0	0
ENSG00000187156	0	10	2	0	7	2
ENSG00000211961	0	4	1	0	2	0
ENSG00000211962	0	6	2	0	1	0
ENSG00000229092	0	2	2	0	0	0
ENSG00000211965	0	4	0	0	0	0
ENSG00000211966	1	8	8	1	1	1
ENSG00000254167	0	10	5	0	0	1
ENSG00000253941	0	0	2	0	1	0
ENSG00000253545	0	1	2	0	2	0
ENSG00000211967	1	6	2	1	1	2
ENSG00000253689	1	0	0	0	0	0
ENSG00000254395	0	2	1	0	0	0
ENSG00000253131	0	1	0	0	0	0
ENSG00000253759	0	1	0	0	0	0
ENSG00000211968	4	6	9	2	4	4
ENSG00000224373	27	76	53	19	42	27
ENSG00000199480	0	0	0	0	1	0
ENSG00000254329	3	3	3	0	3	0
ENSG00000211970	5	4	8	3	2	3
ENSG00000253936	2	1	0	0	0	1
ENSG00000223648	0	3	3	0	2	3
ENSG00000253169	0	0	1	0	0	0
ENSG00000211972	3	9	3	1	3	4
ENSG00000253274	1	5	0	0	2	0
ENSG00000223506	1	7	8	0	0	1
ENSG00000254052	0	2	5	0	0	1
ENSG00000253703	0	3	0	0	0	0
ENSG00000211973	0	15	8	0	8	3
ENSG00000211974	1	2	2	1	2	0
ENSG00000254056	0	0	2	0	0	1
ENSG00000225698	0	2	0	0	0	0
ENSG00000211976	1	4	0	0	0	1
ENSG00000224650	3	12	9	3	3	3
ENSG00000253247	0	1	1	0	0	0
ENSG00000253310	0	0	0	0	0	1
ENSG00000265929	0	4	1	0	1	3
ENSG00000211978	0	1	0	1	1	4
ENSG00000254284	1	1	0	0	0	0
ENSG00000253128	1	1	2	0	0	1
ENSG00000211979	3	8	2	3	1	4
ENSG00000215567	1	0	0	0	0	0
ENSG00000258706	0	1	0	0	0	0
ENSG00000259337	0	1	0	0	0	0
ENSG00000259490	0	2	2	0	0	0
ENSG00000258780	0	0	1	0	0	2
ENSG00000258628	1	0	0	0	0	0
ENSG00000180229	143	117	115	169	148	190
ENSG00000258488	0	0	2	1	0	2
ENSG00000181984	0	0	1	0	0	0
ENSG00000270685	1	0	0	2	1	0
ENSG00000258590	2	1	4	1	0	1
ENSG00000260409	5	9	0	8	6	2
ENSG00000258684	0	1	1	0	0	2
ENSG00000237161	24	24	11	22	18	35
ENSG00000247765	10	15	8	17	16	14
ENSG00000183706	0	1	0	0	0	1
ENSG00000259435	0	1	0	0	0	0
ENSG00000260739	0	0	0	0	1	0
ENSG00000223877	3	2	3	0	2	3
ENSG00000270505	14	9	16	73	44	72
ENSG00000269182	0	1	0	7	2	4
ENSG00000271288	5	10	11	26	29	48
ENSG00000259261	0	4	0	0	3	5
ENSG00000271507	1	0	1	0	0	0
ENSG00000185182	0	1	2	0	0	0
ENSG00000197414	0	2	6	0	2	0
ENSG00000153575	1284	1260	993	875	981	907
ENSG00000068793	1738	2861	2307	1420	2502	2275
ENSG00000140157	2669	2454	1864	1761	1881	1691
ENSG00000170113	2342	2592	1812	1841	2603	2888
ENSG00000259344	36	29	27	33	40	38
ENSG00000259425	19	11	4	13	7	21
ENSG00000259480	12	8	5	10	8	5
ENSG00000230856	0	0	0	1	0	0
ENSG00000187667	1	0	0	6	1	4
ENSG00000153666	0	1	2	1	1	0
ENSG00000140181	865	865	704	853	1127	1218
ENSG00000259455	0	1	0	0	0	0
ENSG00000175676	1	0	0	0	0	0
ENSG00000261739	0	8	3	0	2	2
ENSG00000265673	0	0	0	1	0	0
ENSG00000179455	816	915	911	576	699	881
ENSG00000260978	50	32	18	39	38	46
ENSG00000254585	10	6	0	14	11	9
ENSG00000182636	935	900	1046	787	1055	970
ENSG00000259905	3	0	0	3	2	1
ENSG00000185823	1	1	0	0	0	1
ENSG00000128739	44	49	54	71	62	93
ENSG00000241061	5	5	6	5	4	4
ENSG00000242088	0	0	1	0	0	0
ENSG00000273173	8	6	8	14	18	21
ENSG00000224078	2141	2877	1755	1816	2528	2457
ENSG00000270704	48	39	8	23	33	39
ENSG00000239014	24	28	11	17	26	18
ENSG00000271347	65	54	30	34	42	59
ENSG00000257647	11	9	1	6	14	22
ENSG00000257151	96	188	130	74	157	195
ENSG00000270246	58	73	15	29	37	36
ENSG00000207063	5	12	2	3	3	4
ENSG00000207001	2	4	1	3	0	2
ENSG00000207014	2	0	0	0	0	0
ENSG00000207442	2	4	0	3	1	0
ENSG00000207093	0	0	0	1	0	2
ENSG00000206727	0	2	1	1	3	2
ENSG00000207137	0	2	0	1	0	1
ENSG00000206621	1	0	0	0	0	0
ENSG00000207263	0	0	0	1	0	0
ENSG00000206688	0	1	0	0	0	0
ENSG00000261069	17	23	10	23	41	31
ENSG00000207279	0	0	0	1	0	1
ENSG00000251815	0	1	0	1	3	0
ENSG00000251896	0	0	0	0	2	2
ENSG00000207245	0	1	0	1	0	0
ENSG00000270523	0	0	0	0	1	0
ENSG00000270814	3	0	4	0	0	1
ENSG00000212380	0	0	0	1	0	0
ENSG00000114062	6776	6769	5779	4773	5878	6277
ENSG00000261529	2	0	0	0	0	4
ENSG00000206190	198	237	189	302	454	519
ENSG00000235160	0	1	0	0	0	0
ENSG00000166206	983	1998	1345	835	1694	2102
ENSG00000186297	0	1	0	0	1	0
ENSG00000182256	0	19	5	0	2	1
ENSG00000261426	0	1	0	0	0	0
ENSG00000259168	0	3	0	0	1	2
ENSG00000258594	0	0	1	0	0	0
ENSG00000104044	13	45	11	1	15	5
ENSG00000128731	1856	2495	1285	1581	2343	2909
ENSG00000256338	1	5	10	5	6	11
ENSG00000261401	0	1	0	0	0	0
ENSG00000237850	0	1	1	0	0	0
ENSG00000260053	1	1	0	0	0	1
ENSG00000261581	0	1	0	0	0	0
ENSG00000206149	214	231	162	202	231	271
ENSG00000254398	0	0	0	2	0	1
ENSG00000188626	2	1	1	0	2	0
ENSG00000261480	0	0	0	0	1	0
ENSG00000248334	15	6	6	24	14	19
ENSG00000261377	126	134	117	95	166	148
ENSG00000261649	16	13	8	15	14	18
ENSG00000270301	4	9	10	13	9	34
ENSG00000034053	1341	2131	1768	2451	3621	3677
ENSG00000259277	1	0	0	0	0	0
ENSG00000104059	2	9	4	2	6	4
ENSG00000259299	0	1	0	1	1	2
ENSG00000185115	783	772	994	603	823	893
ENSG00000259300	0	0	0	0	0	1
ENSG00000256802	0	1	0	0	1	0
ENSG00000104067	10	0	0	0	0	5
ENSG00000234664	21	19	24	13	20	20
ENSG00000259523	0	0	1	0	0	0
ENSG00000259749	0	1	0	0	0	0
ENSG00000259647	0	0	0	1	0	0
ENSG00000260174	1	0	6	0	0	0
ENSG00000179938	0	0	0	1	0	0
ENSG00000178081	2	1	2	0	0	0
ENSG00000261247	0	0	0	0	0	2
ENSG00000225930	0	0	0	1	0	0
ENSG00000270173	0	0	1	0	2	2
ENSG00000166664	4	5	2	9	4	4
ENSG00000186399	2	12	4	7	10	18
ENSG00000215302	21	31	21	13	36	39
ENSG00000270055	97	106	105	87	105	117
ENSG00000260784	0	0	0	0	0	1
ENSG00000260693	0	2	0	0	0	0
ENSG00000178115	0	0	2	1	0	0
ENSG00000260128	2	2	0	1	2	6
ENSG00000261794	17	11	10	8	9	7
ENSG00000270016	1	0	3	0	2	0
ENSG00000269930	4	0	1	0	1	1
ENSG00000247728	11	7	2	7	2	8
ENSG00000187951	1080	1141	706	1031	1271	1399
ENSG00000252602	2	1	0	1	1	1
ENSG00000269974	65	50	64	28	65	66
ENSG00000206846	1	1	2	0	2	2
ENSG00000103832	2	8	3	6	12	14
ENSG00000259845	30	17	16	26	31	30
ENSG00000260382	3	6	6	7	7	5
ENSG00000261628	7	4	3	1	1	6
ENSG00000198690	1237	1362	857	888	1141	1051
ENSG00000270015	254	220	153	129	141	143
ENSG00000166912	825	871	698	572	845	917
ENSG00000134160	1	0	1	0	0	0
ENSG00000259720	1	0	0	0	0	0
ENSG00000259448	4	9	8	3	2	4
ENSG00000259772	1	1	1	1	2	0
ENSG00000169926	3675	4787	3165	3116	5970	7036
ENSG00000169918	7	20	8	10	14	19
ENSG00000175344	53	34	28	53	67	93
ENSG00000249931	7	0	2	8	0	4
ENSG00000215304	5	0	0	3	0	2
ENSG00000233812	1	0	0	0	0	0
ENSG00000261279	1	0	0	0	1	0
ENSG00000206987	2	0	0	1	0	0
ENSG00000206127	5	2	2	1	3	5
ENSG00000270789	0	0	0	0	0	2
ENSG00000261375	0	0	0	0	0	1
ENSG00000254912	1	1	1	1	3	0
ENSG00000223509	100	119	66	88	108	123
ENSG00000261064	1	3	3	1	2	0
ENSG00000232653	2	2	1	1	4	3
ENSG00000234038	0	0	0	0	0	3
ENSG00000262728	14	10	21	12	15	18
ENSG00000244952	14	18	9	3	5	16
ENSG00000198826	6222	6240	5716	4375	5932	6688
ENSG00000166922	24	21	35	13	20	18
ENSG00000241818	2	2	4	1	4	4
ENSG00000248905	20	26	20	19	51	77
ENSG00000259686	0	1	0	1	2	0
ENSG00000215296	1	4	1	0	0	0
ENSG00000198838	18	8	10	11	18	16
ENSG00000259408	1	0	0	2	4	2
ENSG00000259287	1	1	0	1	1	5
ENSG00000169857	275	237	223	298	322	258
ENSG00000184984	1	5	0	1	1	1
ENSG00000259505	0	0	0	0	1	0
ENSG00000134153	1153	1123	1384	962	1022	907
ENSG00000243094	2	1	1	3	1	3
ENSG00000182405	195	248	145	191	210	203
ENSG00000134152	1350	1425	1540	966	1248	1181
ENSG00000128463	1876	1891	2174	1666	1768	1782
ENSG00000140199	1131	525	236	1717	1071	1183
ENSG00000207091	1	0	0	0	0	0
ENSG00000182117	1470	1160	1516	1248	1011	897
ENSG00000184507	7	1	1	4	0	3
ENSG00000176454	1354	1139	1224	735	743	700
ENSG00000259904	2	2	2	0	1	3
ENSG00000175265	159	138	111	140	161	188
ENSG00000261081	0	0	0	0	0	1
ENSG00000259917	35	25	16	29	22	21
ENSG00000261559	0	0	0	5	1	2
ENSG00000215252	924	797	867	664	830	929
ENSG00000159251	0	1	0	0	0	0
ENSG00000259751	0	0	0	1	0	3
ENSG00000021776	4079	3795	2258	2951	3448	3542
ENSG00000231409	0	0	2	0	2	0
ENSG00000198146	2922	2818	1746	1835	2379	2796
ENSG00000259587	0	0	0	1	0	0
ENSG00000259665	0	0	1	0	0	0
ENSG00000259397	2	1	1	0	0	1
ENSG00000259592	0	2	0	0	0	0
ENSG00000259516	6	4	8	6	2	1
ENSG00000134146	329	347	378	169	194	135
ENSG00000265102	0	0	0	3	0	1
ENSG00000259411	0	1	0	0	1	0
ENSG00000248079	2	7	4	5	0	5
ENSG00000186073	595	427	388	436	425	398
ENSG00000261635	0	0	0	1	0	0
ENSG00000261191	0	0	1	0	0	0
ENSG00000223518	1	0	1	1	0	0
ENSG00000134138	319	160	98	311	244	207
ENSG00000270304	1	1	0	0	0	0
ENSG00000259434	0	1	2	0	0	0
ENSG00000166068	641	934	623	717	1104	1086
ENSG00000171262	4350	3866	3528	2916	3156	3069
ENSG00000259192	1	2	2	0	4	1
ENSG00000172575	3476	5267	3565	2192	4377	5153
ENSG00000259326	6	26	14	11	18	22
ENSG00000259598	2	2	3	2	0	6
ENSG00000201509	0	1	0	0	0	0
ENSG00000259747	1	3	2	0	0	0
ENSG00000175779	1	1	1	0	0	0
ENSG00000259345	17	5	3	22	4	3
ENSG00000259450	0	0	1	1	1	0
ENSG00000175746	26	16	5	30	13	10
ENSG00000137801	5	1	4	15	13	2
ENSG00000150667	38	31	24	52	32	18
ENSG00000261136	93	73	68	84	62	96
ENSG00000166073	125	101	84	126	128	104
ENSG00000246863	11	5	12	3	7	3
ENSG00000128829	4196	4173	2755	3368	3699	3679
ENSG00000140319	4889	4762	5800	3929	4663	3975
ENSG00000248508	106	108	88	136	142	126
ENSG00000259584	3	3	1	1	1	4
ENSG00000104081	249	536	416	238	691	756
ENSG00000156970	6935	8151	6096	4567	6150	6263
ENSG00000137843	19	17	15	16	19	15
ENSG00000260648	6	5	0	2	5	8
ENSG00000176753	2	1	0	1	1	1
ENSG00000137841	816	960	884	883	1345	1590
ENSG00000230778	11	22	13	6	20	10
ENSG00000259307	1	2	2	6	12	8
ENSG00000244705	0	0	0	0	0	1
ENSG00000259330	170	108	141	102	87	90
ENSG00000188549	81	73	89	34	44	33
ENSG00000233041	2	0	1	0	0	0
ENSG00000140323	88	113	64	72	95	123
ENSG00000259714	0	1	1	0	1	0
ENSG00000261374	2	2	3	2	0	1
ENSG00000128944	2738	3062	2802	2143	2183	2199
ENSG00000128928	2392	2063	1780	1951	2110	2044
ENSG00000140320	1543	1381	1197	1368	1665	1589
ENSG00000259364	5	1	0	0	0	2
ENSG00000259211	3	1	0	0	3	3
ENSG00000169105	672	870	939	487	750	808
ENSG00000244251	1	2	0	0	2	0
ENSG00000259536	2	2	1	3	4	5
ENSG00000128891	287	326	275	264	330	339
ENSG00000223313	3	2	0	1	1	1
ENSG00000166133	567	524	521	395	418	359
ENSG00000137812	5723	6831	4700	5189	7644	9973
ENSG00000238559	1	1	0	0	0	2
ENSG00000259254	2	2	4	0	1	4
ENSG00000245849	88	108	79	58	64	98
ENSG00000051180	1449	1438	1431	1303	1290	1230
ENSG00000137824	261	247	256	186	249	248
ENSG00000271236	0	1	0	1	0	0
ENSG00000137880	129	197	197	114	163	167
ENSG00000104129	308	284	397	273	274	292
ENSG00000188277	42	50	31	32	61	55
ENSG00000166140	746	704	918	604	701	652
ENSG00000166143	9	1	2	11	5	1
ENSG00000261183	1	5	6	3	5	4
ENSG00000166145	501	568	603	379	679	628
ENSG00000104140	46	73	84	22	45	43
ENSG00000104142	949	945	812	903	1219	1259
ENSG00000251161	7	1	5	2	4	1
ENSG00000128917	3	8	2	5	8	4
ENSG00000259405	11	7	15	5	22	3
ENSG00000128965	149	359	310	71	267	163
ENSG00000128908	2065	2022	1367	1468	1621	1850
ENSG00000259463	0	0	0	1	2	0
ENSG00000259521	5	1	2	2	1	2
ENSG00000157021	25	18	14	23	20	14
ENSG00000178997	1	4	3	0	3	2
ENSG00000187446	3777	3269	2660	2910	2903	3226
ENSG00000247556	6997	8517	7160	4963	8179	10000
ENSG00000104147	666	722	748	610	630	585
ENSG00000137804	7108	6552	6440	5467	6577	6917
ENSG00000259396	3	2	0	2	0	0
ENSG00000137806	1052	972	920	812	746	586
ENSG00000137815	3686	3734	3334	2954	3575	3955
ENSG00000137825	118	118	128	155	192	170
ENSG00000062524	7	7	8	5	2	5
ENSG00000103932	1880	1720	1290	1639	1828	1644
ENSG00000259838	4	0	0	1	1	3
ENSG00000092445	704	1039	720	465	821	512
ENSG00000260926	0	3	1	0	0	1
ENSG00000174197	3438	3337	1443	2567	2723	2950
ENSG00000270702	0	0	1	0	0	0
ENSG00000260814	3	10	6	8	11	12
ENSG00000137802	1956	2255	1410	2062	2809	2795
ENSG00000268632	3	2	0	0	2	3
ENSG00000250379	1	0	0	0	1	2
ENSG00000243708	19	16	5	23	19	35
ENSG00000243789	6	13	6	8	8	19
ENSG00000168970	143	176	123	113	211	229
ENSG00000137877	6	14	6	12	23	32
ENSG00000174171	21	23	16	12	18	16
ENSG00000272003	1	14	10	6	8	10
ENSG00000103966	874	817	645	744	787	727
ENSG00000259883	1	0	0	1	1	2
ENSG00000246740	0	1	1	0	0	3
ENSG00000188089	0	0	0	0	0	1
ENSG00000159337	1	4	1	0	0	2
ENSG00000168907	0	0	0	4	0	0
ENSG00000166887	3164	3348	2658	2987	3745	3881
ENSG00000261002	3	4	0	1	1	1
ENSG00000103978	1123	1094	1030	1002	1058	1199
ENSG00000214013	397	432	320	437	496	579
ENSG00000260571	1	0	0	2	4	2
ENSG00000258461	4	4	3	7	15	15
ENSG00000092529	2	3	0	5	13	9
ENSG00000103994	3737	4381	2515	3168	4309	5000
ENSG00000092531	1675	1764	1225	1452	1687	1467
ENSG00000180979	630	644	554	652	725	767
ENSG00000137814	1471	1001	846	1091	1017	1029
ENSG00000260490	3	12	3	6	9	4
ENSG00000159433	493	477	291	442	648	747
ENSG00000260282	1	0	0	0	1	2
ENSG00000140326	1461	1638	1487	1237	1732	1784
ENSG00000128881	1067	1243	689	818	1171	1475
ENSG00000260799	1	2	0	2	2	2
ENSG00000254793	2	0	0	1	2	1
ENSG00000159459	3194	2657	1714	2672	2797	3040
ENSG00000166947	13	9	5	16	18	16
ENSG00000205871	9	19	41	13	21	12
ENSG00000137842	179	159	144	175	229	229
ENSG00000261687	0	0	0	0	0	1
ENSG00000166946	1483	1435	1551	1560	1545	1572
ENSG00000104055	2	3	0	2	3	2
ENSG00000159495	0	6	6	0	3	2
ENSG00000168806	1135	1113	1144	717	957	844
ENSG00000168803	959	855	675	1078	998	911
ENSG00000140265	1564	1549	1114	1434	1612	1935
ENSG00000137822	2183	2442	1574	1425	1795	1822
ENSG00000243871	1	1	0	0	1	1
ENSG00000067369	2821	3337	1945	2377	2722	2731
ENSG00000166963	10269	11452	5294	6612	7464	6753
ENSG00000168781	483	426	364	409	382	380
ENSG00000237289	6	4	1	0	0	0
ENSG00000242866	3	1	0	1	1	4
ENSG00000166762	111	103	76	82	90	105
ENSG00000206991	2	2	5	2	2	4
ENSG00000224677	7	6	0	2	3	6
ENSG00000249839	3	1	0	2	1	1
ENSG00000223572	1	5	3	1	1	0
ENSG00000166763	0	2	3	0	1	1
ENSG00000201136	0	1	0	0	0	0
ENSG00000205771	58	32	56	30	42	34
ENSG00000206589	1	0	0	0	0	1
ENSG00000167004	5510	5579	5415	4790	4550	4196
ENSG00000128886	15	7	10	12	20	15
ENSG00000140264	7701	7645	11342	5646	6712	5661
ENSG00000242028	90	105	82	77	59	81
ENSG00000140259	2124	2369	1956	2006	2029	1842
ENSG00000092470	3730	3134	2635	2483	2781	2877
ENSG00000200391	0	0	0	0	2	0
ENSG00000171877	95	173	123	50	178	194
ENSG00000227973	2	6	1	0	3	4
ENSG00000185607	1	3	5	0	3	6
ENSG00000166734	2280	2477	2126	1898	2637	3072
ENSG00000250130	0	0	0	1	0	2
ENSG00000259499	1	1	0	2	0	0
ENSG00000259595	5	5	0	1	2	0
ENSG00000137770	4006	3735	3087	2688	3827	4229
ENSG00000265191	0	1	0	0	1	0
ENSG00000259335	0	0	1	0	0	1
ENSG00000259563	3	3	3	0	4	8
ENSG00000179523	279	302	244	204	233	235
ENSG00000104131	4580	3284	3363	3249	2689	2396
ENSG00000259659	7	8	9	6	9	2
ENSG00000104133	2233	2464	1550	1487	2025	2402
ENSG00000229474	52	59	56	69	115	153
ENSG00000206957	0	0	0	0	1	1
ENSG00000166710	15571	22159	27837	15996	24644	26906
ENSG00000185880	1080	1202	1053	836	976	1013
ENSG00000259479	51	58	55	47	56	52
ENSG00000140263	1757	1819	1494	1477	1683	1562
ENSG00000259418	2	1	0	1	0	6
ENSG00000252171	0	0	1	0	2	0
ENSG00000140279	3	1	1	0	1	1
ENSG00000140274	0	0	0	0	1	1
ENSG00000140254	0	0	0	1	0	0
ENSG00000137857	30	58	35	32	44	87
ENSG00000138606	257	453	516	359	792	765
