ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000000419	788.119539422366	-0.397727769939617	0.0889912529057334	-4.46929059826725	7.84794478060434e-06	8.43199324457753e-05	DPM1
ENSG00000000457	188.795937181559	0.699085828953576	0.195973498098789	3.56724677436319	0.000360751715583837	0.00231930399838695	SCYL3
ENSG00000000460	45.0791266833203	-0.589396345986135	0.230853671858251	-2.55311661816684	0.0106763742834135	0.039318543016475	C1orf112
ENSG00000001084	734.492989005282	-1.02340463042391	0.130048469617084	-7.86940925515874	3.56319758031874e-15	3.12451538641392e-13	GCLC
ENSG00000001460	225.391732391741	-0.865246094775093	0.133117107284737	-6.49988654669556	8.03806080214544e-11	2.82865705464974e-09	STPG1
ENSG00000001461	2344.48238231577	-0.548421228891444	0.164091045397462	-3.34217645797219	0.000831241987229047	0.00471742760291838	NIPAL3
ENSG00000001626	3.12912857512349	5.41763820433918	1.41151185820158	3.8381811480081	0.000123949030734457	0.00093151157765874	CFTR
ENSG00000002549	725.440136911433	-0.343793403013899	0.117888658560693	-2.91625511063818	0.00354260705144699	0.0158043412161718	LAP3
ENSG00000002834	11263.6797763373	1.08965824978937	0.146646273581827	7.43052123435893	1.08170568414569e-13	7.33027433864279e-12	LASP1
ENSG00000003249	36.8791970427458	1.76512054226716	0.618073647267893	2.85584177560332	0.00429228979084276	0.0185231610255893	DBNDD1
ENSG00000003402	1495.197373958	0.541012047327945	0.13179354672167	4.10499649478656	4.04321010959785e-05	0.000354833976640507	CFLAR
ENSG00000003436	1586.82407272684	-0.957001117300679	0.264053279545774	-3.62427279428953	0.000289775629818025	0.00192249282963921	TFPI
ENSG00000003509	264.394964224754	0.465792854108985	0.0924061780209949	5.04071117412903	4.63805012353556e-07	6.9541499960173e-06	NDUFAF7
ENSG00000004139	121.054075538173	-1.10350803999611	0.242636752925827	-4.54798387585349	5.41622841335915e-06	6.11856510729843e-05	SARM1
ENSG00000004142	1358.58515307026	-0.198248270361831	0.0739521689412687	-2.68076343398765	0.00734544231499007	0.0289678029319385	POLDIP2
ENSG00000004399	11579.4312338315	0.445765098509899	0.137331134231405	3.2459143442213	0.00117074058854682	0.00627318933081595	PLXND1
ENSG00000004455	1668.49155655924	0.477281182526332	0.179854028049026	2.65371416867145	0.00796112317268054	0.0309239788777746	AK2
ENSG00000004478	937.824738692745	0.311419001721857	0.12155797775875	2.56189686159401	0.0104102228368773	0.0385558469478669	FKBP4
ENSG00000004660	324.141741534207	-1.22228144294584	0.380309645407539	-3.21391123708169	0.00130940144572271	0.00687845650200911	CAMKK1
