ID	baseMean	log2FoldChange_x_WPIonly_vs_WPIHXB	lfcSE_x_WPIonly_vs_WPIHXB	stat_x_WPIonly_vs_WPIHXB	pvalue_x_WPIonly_vs_WPIHXB	padj_x_WPIonly_vs_WPIHXB	filter	filter1	gene_name
ENSG00000001461	2357.07077337698	-0.707115446611264	0.155557153108665	-4.54569547256567	5.47541543606336e-06	0.000284054428570613	1	DE	NIPAL3
ENSG00000001497	2483.07139477209	0.608023196132185	0.218630348911175	2.7810557827871	0.00541824261185357	0.0466041674150585	1	DE	LAS1L
ENSG00000001626	69.8217236836723	1.29618554853795	0.464031504214744	2.79331367970677	0.00521710741299411	0.0454337891600995	1	DE	CFTR
ENSG00000002834	6594.1019592842	-0.534159082705967	0.166045767307021	-3.21693886793452	0.00129566202980824	0.0176453547002785	1	DE	LASP1
ENSG00000003137	1011.74962291587	-0.674811149409195	0.196097840609734	-3.44119622791858	0.000579148361524935	0.00996290831998438	1	DE	CYP26B1
ENSG00000003400	805.444998598067	-0.642124827001053	0.190404978202599	-3.37241616822542	0.000745117658200945	0.0119358680555609	1	DE	CASP10
ENSG00000003756	2184.31461515596	-0.399979810367615	0.136133887100007	-2.93813552883992	0.00330192644624941	0.0337206232127856	1	DE	RBM5
ENSG00000004399	1593.25979872271	-0.883475723610538	0.204076136016679	-4.32914764486883	1.49687558158919e-05	0.000660775939206127	1	DE	PLXND1
ENSG00000004455	5418.30539445069	0.639047847325746	0.214895066293107	2.97376695681843	0.00294168396342188	0.0311520106394052	1	DE	AK2
ENSG00000004478	7527.25048748599	0.864901141586396	0.240561280287245	3.59534643544319	0.000323960181392356	0.00658116295523709	1	DE	FKBP4
ENSG00000004777	1442.4632264005	-0.530578152848731	0.175083253569208	-3.03043347683165	0.00244202975815016	0.0272238469845448	1	DE	ARHGAP33
ENSG00000004779	1984.38024714917	0.770785771387473	0.231643228933795	3.32746946645165	0.000876385926588846	0.013298085238088	1	DE	NDUFAB1
ENSG00000005022	10500.434666807	0.51006539436605	0.168608224409903	3.02515133025797	0.00248508752223795	0.0275837532634533	1	DE	SLC25A5
ENSG00000005175	1924.90417087941	0.481375209348135	0.152178667621909	3.16322397133955	0.00156032239613116	0.0199913866967197	1	DE	RPAP3
ENSG00000005238	681.407477368136	-1.63013156821726	0.220196329871204	-7.40308237276593	1.33059152532713e-13	9.29115773276153e-11	1	DE	FAM214B
ENSG00000005339	2160.48902847755	-0.893073716440163	0.250238852766316	-3.56888511343262	0.000358503580739346	0.00704262405027856	1	DE	CREBBP
ENSG00000006118	927.863363797149	-0.647826897425618	0.17406825023181	-3.72168328550953	0.000197899142975873	0.00460625247635661	1	DE	TMEM132A
ENSG00000006459	895.328628450189	-0.887547934609991	0.284221029475657	-3.12273844144248	0.00179176903311911	0.0219849487913544	1	DE	KDM7A
ENSG00000006704	420.022299377559	-0.795888699734496	0.227512642413019	-3.49821746736018	0.000468379052492453	0.00857890715402685	1	DE	GTF2IRD1
ENSG00000007237	5443.36272808462	-0.98292715371681	0.286364022072792	-3.43243940562811	0.00059817753417604	0.0102215831813263	1	DE	GAS7
